"ingredient code","Ingredient description","Nutrient code","Nutrient value","Nutrient value source","FDC ID","Derivation code","SR AddMod year","Foundation year acquired","Start date","End date"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","418","0","SR Legacy","175199","","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","421","66.2","SR Legacy","175199","","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","430","5.6","SR Legacy","175199","A","2003","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","431","0","SR Legacy","175199","Z","2001","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","432","525","SR Legacy","175199","A","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","435","525","SR Legacy","175199","NC","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","573","0","SR Legacy","175199","Z","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","578","0","SR Legacy","175199","Z","2004","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","601","0","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","606","0.235","SR Legacy","175199","NC","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","607","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","608","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","609","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","610","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","611","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","612","0.001","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","613","0.229","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","614","0.005","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
